sig_lev_1,inventory_year,count
Q: Manuscript Illumination,1999,49
Q: Manuscript Illumination,2000,67
Q: Manuscript Illumination,2001,45
Q: Manuscript Illumination,2002,22
Q: Manuscript Illumination,2003,21
Q: Manuscript Illumination,2004,40
Q: Manuscript Illumination,2005,21
Q: Manuscript Illumination,2006,33
Q: Manuscript Illumination,2007,28
Q: Manuscript Illumination,2008,40
Q: Manuscript Illumination,2009,40
Q: Manuscript Illumination,2010,50
Q: Manuscript Illumination,2011,65
Q: Manuscript Illumination,2012,30
Q: Manuscript Illumination,2013,118
Q: Manuscript Illumination,2014,78
Q: Manuscript Illumination,2015,109
Q: Manuscript Illumination,2016,69
Q: Manuscript Illumination,2017,72
Q: Manuscript Illumination,2018,119
Q: Manuscript Illumination,2019,191
Q: Manuscript Illumination,2020,79
Q: Manuscript Illumination,2021,110
Q: Manuscript Illumination,2022,164
Q: Manuscript Illumination,2023,8
R: Graphic Arts,1985,20
R: Graphic Arts,1986,3
R: Graphic Arts,1987,23
R: Graphic Arts,1988,21
R: Graphic Arts,1989,21
R: Graphic Arts,1990,5
R: Graphic Arts,1991,9
R: Graphic Arts,1992,12
R: Graphic Arts,1993,30
R: Graphic Arts,1994,30
R: Graphic Arts,1995,19
R: Graphic Arts,1996,13
R: Graphic Arts,1997,28
R: Graphic Arts,1998,44
R: Graphic Arts,1999,33
R: Graphic Arts,2000,55
R: Graphic Arts,2001,45
R: Graphic Arts,2002,34
R: Graphic Arts,2003,17
R: Graphic Arts,2004,21
R: Graphic Arts,2005,20
R: Graphic Arts,2006,24
R: Graphic Arts,2007,15
R: Graphic Arts,2008,36
R: Graphic Arts,2009,50
R: Graphic Arts,2010,27
R: Graphic Arts,2011,20
R: Graphic Arts,2012,38
R: Graphic Arts,2013,69
R: Graphic Arts,2014,63
R: Graphic Arts,2015,84
R: Graphic Arts,2016,71
R: Graphic Arts,2017,54
R: Graphic Arts,2018,107
R: Graphic Arts,2019,50
R: Graphic Arts,2020,54
R: Graphic Arts,2021,53
R: Graphic Arts,2022,102
R: Graphic Arts,2023,7
S: Applied Arts,1985,21
S: Applied Arts,1986,35
S: Applied Arts,1987,24
S: Applied Arts,1988,7
S: Applied Arts,1989,20
S: Applied Arts,1990,18
S: Applied Arts,1991,16
S: Applied Arts,1992,13
S: Applied Arts,1993,36
S: Applied Arts,1994,43
S: Applied Arts,1995,23
S: Applied Arts,1996,39
S: Applied Arts,1997,30
S: Applied Arts,1998,47
S: Applied Arts,1999,385
S: Applied Arts,2000,68
S: Applied Arts,2001,34
S: Applied Arts,2002,64
S: Applied Arts,2003,30
S: Applied Arts,2004,47
S: Applied Arts,2005,57
S: Applied Arts,2006,43
S: Applied Arts,2007,46
S: Applied Arts,2008,26
S: Applied Arts,2009,30
S: Applied Arts,2010,24
S: Applied Arts,2011,27
S: Applied Arts,2012,36
S: Applied Arts,2013,41
S: Applied Arts,2014,37
S: Applied Arts,2015,53
S: Applied Arts,2016,44
S: Applied Arts,2017,63
S: Applied Arts,2018,60
S: Applied Arts,2019,62
S: Applied Arts,2020,38
S: Applied Arts,2021,35
S: Applied Arts,2022,84
S: Applied Arts,2023,9
"T: Collecting Art, Museum Studies",1985,14
"T: Collecting Art, Museum Studies",1986,15
"T: Collecting Art, Museum Studies",1987,7
"T: Collecting Art, Museum Studies",1988,21
"T: Collecting Art, Museum Studies",1989,32
