Subject,Z36H_LOAN_DATE,usertype,count
Manuscript Illumination,2020,External,1
Manuscript Illumination,2020,Internal,14
Manuscript Illumination,2021,External,1
Manuscript Illumination,2021,Internal,19
Manuscript Illumination,2022,External,3
Manuscript Illumination,2022,Internal,16
Manuscript Illumination,2023,Internal,36
Non-Italian Artists,2013,External,2162
Non-Italian Artists,2013,Internal,509
Non-Italian Artists,2014,External,2143
Non-Italian Artists,2014,Internal,547
Non-Italian Artists,2015,External,2014
Non-Italian Artists,2015,Internal,655
Non-Italian Artists,2016,External,1583
Non-Italian Artists,2016,Internal,546
Non-Italian Artists,2017,External,1347
Non-Italian Artists,2017,Internal,660
Non-Italian Artists,2018,External,1065
Non-Italian Artists,2018,Internal,748
Non-Italian Artists,2019,External,650
Non-Italian Artists,2019,Internal,913
Non-Italian Artists,2020,External,2
Non-Italian Artists,2020,Internal,175
Non-Italian Artists,2021,Internal,341
Non-Italian Artists,2022,External,13
Non-Italian Artists,2022,Internal,431
Non-Italian Artists,2023,External,13
Non-Italian Artists,2023,Internal,494
Ornament,2013,External,21
Ornament,2013,Internal,2
Ornament,2014,External,50
Ornament,2014,Internal,8
Ornament,2015,External,9
Ornament,2015,Internal,3
Ornament,2016,External,19
Ornament,2016,Internal,10
Ornament,2017,External,72
Ornament,2017,Internal,10
Ornament,2018,External,14
Ornament,2018,Internal,16
Ornament,2019,External,10
Ornament,2019,Internal,14
Ornament,2020,Internal,3
Ornament,2021,Internal,13
Ornament,2022,Internal,8
Ornament,2023,Internal,9
Painting,2013,External,196
Painting,2013,Internal,46
Painting,2014,External,180
Painting,2014,Internal,45
Painting,2015,External,226
Painting,2015,Internal,57
Painting,2016,External,204
Painting,2016,Internal,84
Painting,2017,External,144
Painting,2017,Internal,99
Painting,2018,External,128
Painting,2018,Internal,64
Painting,2019,External,42
Painting,2019,Internal,82
Painting,2020,Internal,15
Painting,2021,Internal,47
Painting,2022,External,2
Painting,2022,Internal,44
Painting,2023,Internal,34
Periodicals,2013,External,8723
Periodicals,2013,Internal,1581
Periodicals,2014,External,10134
Periodicals,2014,Internal,1354
Periodicals,2015,External,9658
Periodicals,2015,Internal,1804
Periodicals,2016,External,8107
Periodicals,2016,Internal,1830
Periodicals,2017,External,5591
Periodicals,2017,Internal,2230
Periodicals,2018,External,4396
Periodicals,2018,Internal,2223
Periodicals,2019,External,2506
Periodicals,2019,Internal,1792
Periodicals,2020,Internal,417
Periodicals,2021,External,11
Periodicals,2021,Internal,697
Periodicals,2022,External,30
Periodicals,2022,Internal,1043
Periodicals,2023,External,9
Periodicals,2023,Internal,1147
Registers of Artistic Monuments,2013,External,7
Registers of Artistic Monuments,2013,Internal,3
Registers of Artistic Monuments,2014,External,5
Registers of Artistic Monuments,2014,Internal,3
Registers of Artistic Monuments,2015,External,26
Registers of Artistic Monuments,2015,Internal,13
Registers of Artistic Monuments,2016,External,1
Registers of Artistic Monuments,2016,Internal,2
Registers of Artistic Monuments,2017,External,9
Registers of Artistic Monuments,2017,Internal,2
Registers of Artistic Monuments,2018,External,2
Registers of Artistic Monuments,2019,External,1
Registers of Artistic Monuments,2019,Internal,1
Registers of Artistic Monuments,2021,Internal,2
Registers of Artistic Monuments,2022,Internal,1
Related Disciplines,2013,External,1753
Related Disciplines,2013,Internal,1045
Related Disciplines,2014,External,2279
Related Disciplines,2014,Internal,993
Related Disciplines,2015,External,2562
Related Disciplines,2015,Internal,1231
Related Disciplines,2016,External,2660
Related Disciplines,2016,Internal,1310
Related Disciplines,2017,External,2328
Related Disciplines,2017,Internal,1462
Related Disciplines,2018,External,1987
Related Disciplines,2018,Internal,1603
Related Disciplines,2019,External,1204
Related Disciplines,2019,Internal,1176
Related Disciplines,2020,External,3
Related Disciplines,2020,Internal,430
Related Disciplines,2021,External,3
Related Disciplines,2021,Internal,930
Related Disciplines,2022,External,9
Related Disciplines,2022,Internal,1263
Related Disciplines,2023,External,2
Related Disciplines,2023,Internal,763
Rome,2013,External,5752
Rome,2013,Internal,1285
Rome,2014,External,7009
Rome,2014,Internal,1098
Rome,2015,External,7545
Rome,2015,Internal,1574
Rome,2016,External,6216
Rome,2016,Internal,1490
Rome,2017,External,4606
Rome,2017,Internal,2052
Rome,2018,External,3488
Rome,2018,Internal,2048
Rome,2019,External,1918
Rome,2019,Internal,1728
Rome,2020,External,7
Rome,2020,Internal,317
Rome,2021,External,13
Rome,2021,Internal,867
Rome,2022,External,49
Rome,2022,Internal,1027
Rome,2023,External,6
Rome,2023,Internal,1029
Sculpture,2013,External,68
Sculpture,2013,Internal,23
Sculpture,2014,External,141
Sculpture,2014,Internal,21
Sculpture,2015,External,124
Sculpture,2015,Internal,58
Sculpture,2016,External,71
Sculpture,2016,Internal,24
Sculpture,2017,External,44
Sculpture,2017,Internal,49
Sculpture,2018,External,43
Sculpture,2018,Internal,35
Sculpture,2019,External,17
Sculpture,2019,Internal,54
Sculpture,2020,Internal,26
Sculpture,2021,Internal,16
Sculpture,2022,Internal,40
Sculpture,2023,Internal,17
Sources,2013,External,1069
Sources,2013,Internal,424
Sources,2014,External,1132
Sources,2014,Internal,301
Sources,2015,External,1349
Sources,2015,Internal,326
Sources,2016,External,1144
Sources,2016,Internal,453
Sources,2017,External,1072
Sources,2017,Internal,549
Sources,2018,External,683
Sources,2018,Internal,417
Sources,2019,External,298
Sources,2019,Internal,411
Sources,2020,External,6
Sources,2020,Internal,105
Sources,2021,External,3
Sources,2021,Internal,264
Sources,2022,External,3
Sources,2022,Internal,345
Sources,2023,Internal,221
Travel Literature,2013,External,277
Travel Literature,2013,Internal,83
Travel Literature,2014,External,256
Travel Literature,2014,Internal,39
Travel Literature,2015,External,244
Travel Literature,2015,Internal,23
Travel Literature,2016,External,205
Travel Literature,2016,Internal,60
Travel Literature,2017,External,207
Travel Literature,2017,Internal,55
Travel Literature,2018,External,157
Travel Literature,2018,Internal,75
Travel Literature,2019,External,88
Travel Literature,2019,Internal,77
Travel Literature,2020,External,1
Travel Literature,2020,Internal,15
Travel Literature,2021,Internal,30
Travel Literature,2022,External,4
Travel Literature,2022,Internal,204
Travel Literature,2023,Internal,40
Unknown,2013,External,11
Unknown,2013,Internal,2
Unknown,2014,External,17
Unknown,2014,Internal,4
Unknown,2015,External,12
Unknown,2015,Internal,3
Unknown,2016,External,14
Unknown,2016,Internal,6
Unknown,2017,External,18
Unknown,2017,Internal,4
Unknown,2018,External,5
Unknown,2018,Internal,2
Unknown,2019,External,1
Unknown,2019,Internal,1
Unknown,2022,Internal,1
Unknown,2023,Internal,1
World Topography,2013,External,56
World Topography,2013,Internal,13
World Topography,2014,External,40
World Topography,2014,Internal,2
World Topography,2015,External,44
World Topography,2015,Internal,13
World Topography,2016,External,55
World Topography,2016,Internal,31
World Topography,2017,External,32
World Topography,2017,Internal,10
World Topography,2018,External,124
World Topography,2018,Internal,113
World Topography,2019,External,16
World Topography,2019,Internal,11
World Topography,2020,Internal,11
World Topography,2021,Internal,62
World Topography,2022,External,1
World Topography,2022,Internal,10
World Topography,2023,External,1
World Topography,2023,Internal,8
