id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle
BV007667694,ger,"Derschau, Joachim von",Sebastiano Ricci,,von Joachim v. Derschau,Heidelberg,Winter,1922,,"Ricci, Sebastiano",p,BV001887832,Heidelberger kunstgeschichtliche Abhandlungen
BV007667755,rus,"Amiranašvili, Šalva",Istorija gruzinskogo iskusstva,,Š. Amiranašvili,Moskva,Izdat. Iskusstvo,1963,,Georgien|Kunst,g|s,,
BV007667939,eng,"Cutler, Anthony",The craft of ivory,,Anthony Cutler,"Washington, DC",Dumbarton Oaks,1985,,Mittelmeerraum|Elfenbeinschnitzerei|Dumbarton Oaks Research Library and Collection,g|s|b,BV006665503,Dumbarton Oaks Byzantine Collection publications
BV007671444,eng,"Shimao, Toshio",The sting of death and other stories,,"by Shimao Toshio ; translated, with introduction and interpretive comments by Kathryn Sparling",Ann Arbor,"Center for Japanese Studies, The University of Michigan",1985,"Sparling, Kathryn",,,BV000002616,Michigan papers in Japanese studies
BV007672007,ita,"Marino, Giambattista",Rime marittime,,Giovan Battista Marino. A cura di Ottavio Besomi ...,Modena,Panini,1988,"Besomi, Ottavio","Marino, Giambattista",p,,
BV007672426,srp,"Petković, Sreten",Arilje,,,Beograd,Jugoslavija,1965,,Arilje|Sakralbau,g|s,,
BV007676335,ita,,Manoscritti Vaticani latini 14666 - 15203,,a cura di Ambrogio M. Piazzoni ...,Città del Vaticano,,1989,"Piazzoni, Ambrogio M.",Biblioteca Apostolica Vaticana|Handschrift,b|s,BV036830143,Studi e testi
BV007676411,eng,,The great age of fresco,,,Florence,Art Ed. Il Fiorino,1968,,Toskana|Freskomalerei|Giotto (di Bondone),g|s|p,,
BV007677293,ger,,Ansichten menschlicher Köpfe,,,Hamburg,Thomas Le Claire Kunsthandel,1989,,"Thomas Le Claire, Kunsthandel|Bildnismalerei",b|s,BV011105805,"Thomas Le Claire, Kunsthandel"
BV007677361,ger,"Weiser-von Inffeld, Josepha",Das Buch um Ghirlandaio,,Josepha Weiser-von Inffeld,Zürich [u.a.],Rascher,1957,,"Ghirlandaio, Domenico|Biografie",p|s,,
BV007677666,ger,"Bätschmann, Oskar",Malerei der Neuzeit,,Oskar Bätschmann,Disentis,Pro Helvetia/Desertina-Verl.,1989,,Schweiz|Malerei,g|s,BV023545240,Ars helvetica
BV007679171,cze,"Hrochová, Věra",Byzantská města ve 13. - 15. století,,Věra Hrochová,Praha,Univ. Karlova,1967,,Byzantinisches Reich|Stadt,g|s,,
BV007680743,ita,"Aldegani, Gianluca",Le corti,,Gianluca Aldegani ; Fabrizio Diodati,Milano,CittaStudi,1991,"Diodati, Fabrizio",Venedig|Hof,g|s,,
BV007680757,ita,,Basilio Cascella e la illustrazione abbruzzese dal verismo al simbolismo,,Anna Maria Damigella ; Gabriele Reggi,Pescara,Carsa Edizioni,1991,"Damigella, Anna Maria|Reggi, Gabriele|Cascella, Basilio","Cascella, Basilio|Illustration",p|s,,
BV007681054,eng,,Simbahan,,Regalado Trota José,"Metro Manila, Philippines",Ayala Museum,1991,"Trota José, Regalado",Philippinen|Christliche Kunst,g|s,,
BV007681678,ita,"Dami, Luigi",La Galleria di Siena,,Luigi Dami.,Firenze,Alinari,1924,,Galleria nazionale dell'Umbria,b,BV004724993,Città e luoghi d'Italia
BV007681858,ger,,Rosgarten-Museum Konstanz,,hrsg. von Sigrid von Blanckenhagen,Lindau u.a.,Thorbecke,[1957],"Blanckenhagen, Sigrid von",Rosgartenmuseum Konstanz,b,BV001894438,Thorbecke-Kunstbücherei
BV007683612,grc,Aristophanes,Gli uccelli,,Aristofane. A cura di Giuseppe Zanetto. Introd. e trad. di Dario DelCorno,Milano,Mondadori,1987,"Zanetto, Giuseppe|Del Corno, Dario",,,,Aves
BV007684796,lat,"Offerhaus, Johannes",Motief en achtergrond,,door Johannes Offerhaus,,,1976,,"Florenz|Malerei|Ghirlandaio, Domenico",g|s|p,,
BV007685442,ita,,Il tesoro di Via Alessandrina,,testi di Maria Cristina Molinari ...,Milano,Silvana,1990,"Molinari, Maria Cristina",Rom|Depotfund,g|s,,
