sign	grp	nr	ref	name	comment	author	date	x
Zs-TOR	Zs	6531		Torrella, Hieronymus		ph	2008.09.16	
Cm-SAL	Cm	520		Salvatore (Messina)	eigentlich Messina, Salvatore, *1916	gw	2008.09.16	
Cm-GAI	Cm	50		Gai, Giuseppe		gw	2008.09.16	
KatP-BAL	KatP	9657		Balzan, Eugenio		gw	2008.09.16	
K-KLE	K	3511		Klein, Peter K.		ph	2008.09.16	
Cm-LAT	Cm	3560		Latis, Gustavo und Vito	Architekten, Brüder	ph	2008.09.16	
Cm-MOR	Cm	858		Moretti, Mario	1917	ph	2008.09.17	
K-MAR	K	420		Maraval, Pierre		gw	2008.09.22	
Wm-VIR	Wm	3434		Virilio, Paul	Architekt und Essayist	gw	2008.09.22	
Cm-COL	Cm	836		Colombo, Rodolfo		gw	2008.09.22	
Ca-VIT	Ca	310		Viti, Timoteo		gw	2008.09.22	
K-SIR	K	5466		Sironi, Grazioso		gw	2008.09.22	
Cm-MOR	Cm	235		Morani, Volturno		gw	2008.09.22	
Wm-ANG	Wm	1910		Angelmaier, Claudia		gw	2008.09.22	
KatE-SHA	KatE	4912		Shanghai		gw	2008.09.23	
Cm-CRI	Cm	420		Cristina, Umberto di	Di Cristina, Umberto (Architekt und Designer)	gw	2008.09.24	
Cm-NOL	Cm	7422		Nolte, Gustav	Südtiroler Architekt	gw	2008.09.25	
Wa-CAR	Wa	330		Carbonel, Alonso		gw	2008.09.25	
Wm-REN	Wm	2610		Renger-Patzsch		ph	2008.09.26	
Ca-PUT	Ca	30		Putti, Giovanni		ph	2008.09.26	
Ca-VIC	Ca	70		Vicenzina, Francesca	eigentl. Volò Smiller detta Vicenzina	gw	2008.09.26	
Cm-LOR	Cm	970		Lorenzetti, Giuliano		gw	2008.09.26	
K-GME	K	4174		Gmelin, Leopold	Architket und Kunsthistoriker	ph	2008.09.26	
Cm-BOC	Cm	280		Boccardini, Luciano		ph	2008.09.26	
