text_2,inventory_year,count
"Statistik, Stadtpläne, Guiden, Veduten",2021,10
"Statistik, Stadtpläne, Guiden, Veduten",2022,14
"Statistik, Stadtpläne, Guiden, Veduten",2023,2
Vatikanstadt (auch einzelne Gebäude),1985,2
Vatikanstadt (auch einzelne Gebäude),1986,4
Vatikanstadt (auch einzelne Gebäude),1987,5
Vatikanstadt (auch einzelne Gebäude),1988,15
Vatikanstadt (auch einzelne Gebäude),1989,1
Vatikanstadt (auch einzelne Gebäude),1990,2
Vatikanstadt (auch einzelne Gebäude),1991,10
Vatikanstadt (auch einzelne Gebäude),1992,5
Vatikanstadt (auch einzelne Gebäude),1993,11
Vatikanstadt (auch einzelne Gebäude),1994,13
Vatikanstadt (auch einzelne Gebäude),1995,3
Vatikanstadt (auch einzelne Gebäude),1996,3
Vatikanstadt (auch einzelne Gebäude),1997,12
Vatikanstadt (auch einzelne Gebäude),1998,14
Vatikanstadt (auch einzelne Gebäude),1999,9
Vatikanstadt (auch einzelne Gebäude),2000,24
Vatikanstadt (auch einzelne Gebäude),2001,5
Vatikanstadt (auch einzelne Gebäude),2002,4
Vatikanstadt (auch einzelne Gebäude),2003,4
Vatikanstadt (auch einzelne Gebäude),2004,16
Vatikanstadt (auch einzelne Gebäude),2005,10
Vatikanstadt (auch einzelne Gebäude),2006,8
Vatikanstadt (auch einzelne Gebäude),2007,11
Vatikanstadt (auch einzelne Gebäude),2008,8
Vatikanstadt (auch einzelne Gebäude),2009,12
Vatikanstadt (auch einzelne Gebäude),2010,17
Vatikanstadt (auch einzelne Gebäude),2011,19
Vatikanstadt (auch einzelne Gebäude),2012,10
Vatikanstadt (auch einzelne Gebäude),2013,8
Vatikanstadt (auch einzelne Gebäude),2014,8
Vatikanstadt (auch einzelne Gebäude),2015,26
Vatikanstadt (auch einzelne Gebäude),2016,19
Vatikanstadt (auch einzelne Gebäude),2017,29
Vatikanstadt (auch einzelne Gebäude),2018,4
Vatikanstadt (auch einzelne Gebäude),2019,20
Vatikanstadt (auch einzelne Gebäude),2020,1
Vatikanstadt (auch einzelne Gebäude),2021,9
Vatikanstadt (auch einzelne Gebäude),2022,5
