id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle
BV013213344,eng,,Journal of geophysical research,,publ. by the American Geophysical Union,"Hoboken, NJ",Wiley,[1991-2012],,,,,
BV013213383,eng,,Journal of geophysical research,,publ. by American Geophysical Union,"Hoboken, NJ",Wiley,[1978-2012],,,,,
BV013213467,eng,,Atmospheric environment,,,Amsterdam [u.a.],Elsevier Science,1967-,,Luft,s,,
BV013213479,ger,"Klopstock, Friedrich Gottlieb",Klopstocks sämmtliche sprachwissenschaftliche und ästhetische Schriften,,hrsg. von A. L. Back und A. R. C. Spindler,Leipzig,Fleischer,1830,"Back, A. L.|Spindler, Albert Richard Constantin",,,BV003811847,Klopstocks sämmtliche Werke
BV013213579,eng,,Ex fumo lucem,,[ed. by Zsuzsanna Dobos],Budapest,Museum of Fine Arts,1999,"Dobos, Zsuzsanna|Garas, Klára",,,,
BV013213582,eng,,Ex fumo lucem,,[ed. by Zsuzsanna Dobos],Budapest,Museum of Fine Arts,1999,"Dobos, Zsuzsanna|Garas, Klára",,,,
BV013213853,eng,,Current science,,,Bangalore,Current Science Association ; Indian Academy of Science,1932-,,,,,
BV013214005,eng,,Business horizons,,"Indiana University, Kelley School of Business","Stamford, Conn. [u.a.]",Jai Press,1958-,,,,,
BV013214031,eng,,Fashions of the Hapsburg era,,"[publ. by the Metropolitan Museum of Art. Bradford D. Kelleher, publ.]",New York,,[ca. 1979],"Kelleher, Bradford D.",Österreich-Ungarn|Mode,g|s,,
BV013214175,eng,,"Hollstein's German engravings, etchings and woodcuts",,F. W. H. Hollstein. Ed. Tilman Falk,Ouderkerk aan den Ijssel,Sound & Vision Publishers,2001,"Schoch, Rainer|Hollstein, Friedrich|Mielke, Ursula|Boon, Karel G.|Anzelewsky, Fedja","Schön, Erhard|Illustration",p|s,,
BV013214750,ita,"Ciullini, Rodolfo",Raccolta di antiche carte e vedute della città di Firenze,,Rodolfo Ciullini,Firenze,Istituto Geografico Militare,1924,,Florenz|Vedute,g|s,,
BV013214850,eng,,Public performance & management review,,,"Abingdon, Oxon","Routledge, Taylor & Francis",2000-,,,,,
BV013214896,eng,,Advanced engineering materials,,,Weinheim,Wiley-VCH Verl.,1999-,,Hochleistungswerkstoff,s,,
BV013214942,fre,,Thesaurus Procopii Caesariensis,,curantibus Bernard Coulie ...,Turnhout,Brepols,2000,"Coulie, Bernard",Procopius (Caesariensis)|Wortschatz,p|s,BV036098647,Corpus Christianorum
BV013215081,eng,"Rutgers, Leonard Victor",Subterranean Rome,,L. V. Rutgers,Leuven,Peeters,2000,,Rom|Katakombe,g|s,,
BV013215238,eng,,Clinical immunology and immunopathology,,,"San Diego, Calif.",Academ. Press,1972-1998,,,,,
BV013215321,eng,"Zucker, Mark J.",The illustrated Bartsch,,general ed.: Walter L. Strauss,New York,Abaris Books,2000,"Strauss, Walter L.|Spike, John T.|Ramaix, Isabelle de",,,,
BV013215336,eng,,The illustrated Bartsch,,general ed.: Walter L. Strauss,New York,Abaris Books,1999,"Ramaix, Isabelle de|Strauss, Walter L.|Spike, John T.|Ramaix, Isabelle de","Sadeler, Jan",p,,
BV013215485,eng,,Crystal engineering,,,Amsterdam,Elsevier,1998-2003,,Kristallographie,s,,
BV013215491,eng,,Ecological economics,,,Amsterdam [u.a.],Elsevier Science,1989-,,Umweltökonomie,s,,
BV013215501,eng,,Environmental pollution,,,Amsterdam [u.a.],Elsevier Science,1970-,,Umweltverschmutzung,s,,
BV013215889,eng,,Ricerche economiche,,,"Boston, Mass.",Harcourt,1993-1996,,,,,
BV013216438,eng,,Islam and the Italian Renaissance,,edited by Charles Burnett and Anna Contadini,London,Warburg Institute,1999,"Burnett, Charles|Contadini, Anna",Italien|Renaissance,g|s,BV037479419,Warburg Institute colloquia
BV013216916,eng,,Computers & graphics,,,Amsterdam [u.a.],Elsevier Science,1975-,,Computergrafik,s,,
BV013216941,eng,,Computers & geosciences,,,Amsterdam [u.a.],Elsevier Science,1975-,,Geologie,s,,
BV013216972,dut,,Kunst voor de markt,,red.: Reindert Falkenburg ; Jan de Jong ...,Zwolle,Waanders,2000,"Falkenburg, Reindert Leonard|Jong, Jan de",Niederlande|Kunstmarkt,g|s,BV002664896,Nederlands kunsthistorisch jaarboek
BV013217009,eng,,Computers & education,,,Amsterdam [u.a.],Elsevier Science,1976-,,Intelligentes Tutorsystem,s,,
BV013217043,eng,,"Computers, environment and urban systems",,,Amsterdam [u.a.],Elsevier Science,1980-,,Umwelt,s,,
BV013217121,eng,,Concurrency,,,"New York, NY [u.a.]",Wiley,1989-2000,,Parallelverarbeitung,s,,
BV013217155,eng,,Cyberpsychology and behavior,,,"Larchmont, NY",Mary Ann Liebert,1998-2009,,Medien,s,,
BV013217185,eng,,Cybermetrics,,,Madrid,CINDOC,1997-[2015],,,,,
BV013217218,eng,,Data & knowledge engineering,,,Amsterdam [u.a.],Elsevier,1985-,,Wissensbasiertes System,s,,
BV013217228,eng,,Datamation,,,"Washington, DC",,1984-,,Computer,s,,
