5;Nf 608;;...............19. und 20. Jh.;
5;Nf 620;;...............Kreuzgang;
5;Nf 630;;...............Kapitelsaal;
5;Nf 640;;...............Dormitorium;
5;Nf 650;;...............Prälatur;
5;Nf 660;;...............Refektorium;
5;Nf 670;;...............Bibliothek;
5;Nf 680;;...............Festsaal;
5;Nf 690;;...............Sonstiges;
3;Nf xxx;yyy;.........Teile des Kirchengebäudes;
4;Nf 700;;............mehrere Teile zusammenfassend;
4;Nf 710;;............Fassade;
4;Nf 720;;............Turm, Dachreiter;
4;Nf 730;;............Westwerk, Vorhalle, Empore;
4;Nf 740;;............Choranlage, Krypta;
4;Nf 750;;............Sonstiges;
4;Nf 760;;............Annexbauten (Sakristeien etc.);
3;Nf xxx;yyy;.........Friedhofsanlagen (auch Gräberfelder und Katakomben);
4;Nf 780;;............zeitlich durchgehend;
4;Nf 782;;............vorkarolingische Zeit (bis 800);
4;Nf 784;;............Mittelalter (800-1500);
4;Nf 786;;............Neuzeit (nach 1500);
4;Nf 788;;............19. und 20. Jh.;
3;Nf xxx;yyy;.........Dorfkirchen und Landkapellen;
4;Nf 810;;............interkontinental;
4;Nf 815;;............Europa allgemein;
4;Nf 820;824;............mitteleuropäische Länder;
4;Nf 826;830;............westeuropäische Länder;
4;Nf 832;;............südeuropäische Länder;
4;Nf 834;;............nordeuropäische Länder;
4;Nf 838;;............osteuropäische Länder;
4;Nf 842;;............Balkan-Länder;
4;Nf 846;;............außereuropäische Länder;
3;Nf xxx;yyy;.........Bildstöcke und Wegkreuze;
4;Nf 910;;............interkontinental;
4;Nf 915;;............Europa allgemein;
4;Nf 920;924;............mitteleuropäische Länder;
4;Nf 926;930;............westeuropäische Länder;
4;Nf 932;;............südeuropäische Länder;
4;Nf 934;;............nordeuropäische Länder;
4;Nf 938;;............osteuropäische Länder;
4;Nf 942;;............Balkan-Länder;
4;Nf 946;;............außereuropäische Länder;
2;Nh ;;......Geschichte der Profanarchitektur;
4;Nh xxx;yyy;............zeitlich durchgehend;
5;Nh 20;;...............interkontinental;
5;Nh 60;;...............Europa allgemein;
5;Nh 100;210;...............mitteleuropäische Länder;
