lev;sys;numbis;text;vw
5;Bs 6080;;...............15. und 16. Jh., Italien gesamt;
5;Bs 6085;6087;...............idem (= 15. und 16. Jh.), Oberitalien;
5;Bs 6090;6092;...............idem (= 15. und 16. Jh.), Mittelitalien;
5;Bs 6095;6097;...............idem (= 15. und 16. Jh.), Unteritalien (auch mit Inseln);
5;Bs 6100;;...............17. und 18. Jh.. Italien gesamt;
5;Bs 6105;6107;...............idem (= 17. und 18. Jh.. Italien gesamt), Oberitalien;
5;Bs 6110;6112;...............idem (= 17. und 18. Jh.. Italien gesamt), Mittelitalien;
5;Bs 6115;6117;...............idem (= 17. und 18. Jh.. Italien gesamt), Unteritalien (auch mit Inseln);
5;Bs 6120;;...............19. und 20. Jh., Italien gesamt;
5;Bs 6125;6127;...............idem (= 19. und 20. Jh.), Oberitalien;
5;Bs 6130;6132;...............idem (= 19. und 20. Jh.), Mittelitalien;
5;Bs 6135;6137;...............idem (= 19. und 20. Jh.), Unteritalien (auch mit Inseln);
4;Bs ;;............Möbel: ;"nur profan; kirchliches Mobiliar = 7000 ff."
5;Bs 6200;;...............Technik der Möbelherstellung;
5;Bs 6210;;...............zeitlich durchgehend, Italien gesamt;
5;Bs 6215;6217;...............idem (= zeitlich durchgehend), Oberitalien;
5;Bs 6220;6222;...............idem (= zeitlich durchgehend), Mittelitalien;
5;Bs 6225;6227;...............idem (= zeitlich durchgehend), Unteritalien (auch mit Inseln);
5;Bs 6230;;...............Frühchristentum, Italien gesamt;
5;Bs 6232;;...............idem (= Frühchristentum), Oberitalien;
5;Bs 6234;;...............idem (= Frühchristentum), Mittelitalien;
5;Bs 6236;;...............idem (= Frühchristentum), Unteritalien (auch mit Inseln);
5;Bs 6240;;...............Mittelalter, Italien gesamt;
5;Bs 6245;6247;...............idem (= Mittelalter), Oberitalien;
5;Bs 6250;6252;...............idem (= Mittelalter), Mittelitalien;
5;Bs 6255;6257;...............Idem, Unteritalien (auch mit Inseln);
5;Bs 6260;;...............Neuzeit, Italien gesamt;
5;Bs 6265;6267;...............idem (= Neuzeit), Oberitalien;
5;Bs 6270;6272;...............idem (= Neuzeit), Mittelitalien;
5;Bs 6275;6277;...............idem (= Neuzeit), Unteritalien (auch mit Inseln);
5;Bs 6280;;...............15. und 16. Jh., Italien gesamt;
5;Bs 6285;6287;...............idem (= 15. und 16. Jh.), Oberitalien;
5;Bs 6290;6292;...............idem (= 15. und 16. Jh.), Mittelitalien;
5;Bs 6295;6297;...............idem (= 15. und 16. Jh.), Unteritalien (auch mit Inseln);
5;Bs 6300;;...............17. und 18. Jh., Italien gesamt;
5;Bs 6305;6307;...............idem (= 17. und 18. Jh.), Oberitalien;
5;Bs 6310;6312;...............idem (= 17. und 18. Jh.), Mittelitalien;
5;Bs 6315;6317;...............idem (= 17. und 18. Jh.), Unteritalien (auch mit Inseln);
5;Bs 6320;;...............19. und 20. Jh., Italien gesamt;
5;Bs 6325;6327;...............idem (= 19. und 20. Jh.), Oberitalien;
5;Bs 6330;6332;...............idem (= 19. und 20. Jh.), Mittelitalien;
5;Bs 6335;6337;...............idem (= 19. und 20. Jh.), Unteritalien (auch mit Inseln);
5;Bs 6400;;...............Bauernmöbel;
4;Bs xxx;yyy;............Tapeten (Leder-, Seiden- und Papiertapeten);
5;Bs 6500;;...............Technik der Tapetenherstellung;
5;Bs 6510;6512;...............zeitlich durchgehend, Italien gesamt;
5;Bs 6540;;...............Mittelalter;
5;Bs 6560;;...............Neuzeit;
5;Bs 6580;;...............19. und 20. Jh.;
4;Bs xxx;yyy;............sonstige Teile der Innenausstattung (Wandvertäfelungen, Intarsien etc.);
5;Bs 6600;;...............Herstellungstechniken;
5;Bs 6610;6612;...............zeitlich durchgehend;
5;Bs 6640;;...............Mittelalter;
5;Bs 6660;;...............Neuzeit;
5;Bs 6680;;...............19. und 20. Jh.;
4;Bs xxx;yyy;............Holzgegenstände (gedrechseltes Gerät etc.);
5;Bs 6700;;...............Herstellungstechniken;
5;Bs 6710;6712;...............zeitlich durchgehend;
5;Bs 6740;;...............Mittelalter;
5;Bs 6760;;...............Neuzeit;
5;Bs 6780;;...............19. und 20. Jh.;
3;Bs xxx;yyy;.........Kirchenausstattung (Altäre, Chorschranken, Gestühl, Kanzeln, Taufen, Orgeln, Glocken);
4;Bs xxx;yyy;............Kirchenausstattung allgemein (auch mehrere Teile zusammengefaßt);
5;Bs 7000;;...............Herstellungstechniken;
5;Bs 7010;;...............zeitlich durchgehend, Italien gesamt;
5;Bs 7015;7017;...............idem (= zeitlich durchgehend), Oberitalien;
5;Bs 7020;7022;...............idem (= zeitlich durchgehend), Mittelitalien;
5;Bs 7025;7027;...............idem (= zeitlich durchgehend), Unteritalien (auch mit Inseln);
5;Bs 7030;;...............Frühchristentum, Italien gesamt;
5;Bs 7032;;...............idem (= Frühchristentum), Oberitalien;
5;Bs 7034;;...............idem (= Frühchristentum), Mittelitalien;
5;Bs 7036;;...............idem (= Frühchristentum), Unteritalien (auch mit Inseln);
5;Bs 7040;;...............Mittelalter, Italien gesamt;
5;Bs 7045;7047;...............idem (= Mittelalter), Oberitalien;
5;Bs 7050;7052;...............idem (= Mittelalter), Mittelitalien;
5;Bs 7055;7057;...............idem (= Mittelalter), Unteritalien (auch mit Inseln);
5;Bs 7060;;...............Neuzeit, Italien gesamt;
5;Bs 7065;7067;...............idem (= Neuzeit), Oberitalien;
5;Bs 7070;7072;...............idem (= Neuzeit), Mittelitalien;
5;Bs 7075;7077;...............idem (= Neuzeit), Unteritalien (auch mit Inseln);
4;Bs xxx;yyy;............Altäre (auch Sakramentshäuschen und Tabernakel);
5;Bs 7100;;...............Herstellungstechniken;
5;Bs 7110;;...............zeitlich durchgehend, Italien gesamt;
5;Bs 7115;7117;...............idem (= zeitlich durchgehend), Oberitalien;
5;Bs 7120;7122;...............idem (= zeitlich durchgehend), Mittelitalien;
5;Bs 7125;7127;...............idem (= zeitlich durchgehend), Unteritalien (auch mit Inseln) ,;
5;Bs 7130;;...............Frühchristentum, Italien gesamt;
5;Bs 7132;;...............idem (= Frühchristentum), Oberitalien;
5;Bs 7134;;...............idem (= Frühchristentum), Mittelitalien;
5;Bs 7136;;...............idem (= Frühchristentum), Unteritalien (auch mit Inseln);
5;Bs 7140;;...............Mittelalter, Italien gesamt;
5;Bs 7145;7147;...............idem (= Mittelalter), Oberitalien;
5;Bs 7150;7152;...............idem (= Mittelalter), Mittelitalien;
5;Bs 7155;7157;...............idem (= Mittelalter), Unteritalien (auch mit Inseln);
5;Bs 7160;;...............Neuzeit, Italien gesamt;
5;Bs 7165;7167;...............idem (= Neuzeit), Oberitalien;
5;Bs 7170;7172;...............idem (= Neuzeit), Mittelitalien;
5;Bs 7175;7177;...............idem (= Neuzeit), Unteritalien (auch mit Inseln);
4;Bs xxx;yyy;............Chorschranken (Lettner);
5;Bs 7200;;...............Herstellungstechniken;
5;Bs 7210;;...............zeitlich durchgehend, Italien gesamt;
5;Bs 7215;7217;...............idem (= zeitlich durchgehend), Oberitalien;
5;Bs 7220;7222;...............idem (= zeitlich durchgehend), Mittelitalien;
5;Bs 7225;7227;...............idem (= zeitlich durchgehend), Unteritalien (auch mit Inseln);
5;Bs 7230;;...............Frühchristentum, Italien gesamt;
5;Bs 7232;;...............idem (= Frühchristentum), Oberitalien;
5;Bs 7234;;...............idem (= Frühchristentum), Mittelitalien;
5;Bs 7236;;...............idem (= Frühchristentum), Unteritalien (auch mit Inseln);
5;Bs 7240;;...............Mittelalter, Italien gesamt;
5;Bs 7245;7247;...............idem (= Mittelalter), Oberitalien;
5;Bs 7250;7252;...............idem (= Mittelalter), Mittelitalien;
5;Bs 7255;7257;...............idem (= Mittelalter), Unteritalien (auch mit Inseln);
5;Bs 7260;;...............Neuzeit, Italien gesamt;
5;Bs 7265;7267;...............idem (= Neuzeit), Oberitalien;
5;Bs 7270;7272;...............idem (= Neuzeit), Mittelitalien;
5;Bs 7275;7277;...............idem (= Neuzeit), Unteritalien (auch mit Inseln);
4;Bs xxx;yyy;............Chor- und Kirchengestühl (auch Beichtstuhl);
5;Bs 7300;;...............Herstellungstechniken;
5;Bs 7310;;...............zeitlich durchgehend, Italien gesamt;
5;Bs 7315;7317;...............idem (= zeitlich durchgehend), Oberitalien;
5;Bs 7320;7322;...............idem (= zeitlich durchgehend), Mittelitalien;
5;Bs 7325;7327;...............idem (= zeitlich durchgehend), Unteritalien (auch mit Inseln);
5;Bs 7330;;...............Frühchristentum, Italien gesamt;
5;Bs 7332;;...............idem (= Frühchristentum), Oberitalien;
5;Bs 7334;;...............idem (= Frühchristentum), Mittelitalien;
5;Bs 7336;;...............idem (= Frühchristentum), Unteritalien (auch mit Inseln);
5;Bs 7340;;...............Mittelalter, Italien gesamt;
5;Bs 7345;7347;...............idem (= Mittelalter), Oberitalien;
5;Bs 7350;7352;...............idem (= Mittelalter), Mittelitalien;
5;Bs 7355;7357;...............idem (= Mittelalter), Unteritalien (auch mit Inseln);
5;Bs 7360;;...............Neuzeit, Italien gesamt;
5;Bs 7365;7367;...............idem (= Neuzeit), Oberitalien;
5;Bs 7370;7372;...............idem (= Neuzeit), Mittelitalien;
5;Bs 7375;7377;...............idem (= Neuzeit), Unteritalien (auch mit Inseln);
4;Bs xxx;yyy;............Kanzeln;
5;Bs 7400;;...............Herstellungstechniken;
5;Bs 7410;;...............zeitlich durchgehend, Italien gesamt;
5;Bs 7415;7417;...............idem (= zeitlich durchgehend), Oberitalien;
5;Bs 7420;7422;...............idem (= zeitlich durchgehend), Mittelitalien;
5;Bs 7425;7427;...............idem (= zeitlich durchgehend), Unteritalien (auch mit Inseln);
5;Bs 7430;;...............Frühchristentum, Italien gesamt;
5;Bs 7432;;...............idem (= Frühchristentum), Oberitalien;
5;Bs 7434;;...............idem (= Frühchristentum), Mittelitalien;
5;Bs 7436;;...............idem (= Frühchristentum), Unteritalien (auch mit Inseln);
5;Bs 7440;;...............Mittelalter, Italien gesamt;
5;Bs 7445;7447;...............idem (= Mittelalter), Oberitalien;
5;Bs 7450;7452;...............idem (= Mittelalter), Mittelitalien;
5;Bs 7455;7457;...............idem (= Mittelalter), Unteritalien (auch mit Inseln);
5;Bs 7460;;...............Neuzeit, Italien gesamt;
5;Bs 7465;7467;...............idem (= Neuzeit), Oberitalien;
5;Bs 7470;7472;...............Idem, Mittelitalien;
5;Bs 7475;7477;...............idem (= Idem), Unteritalien (auch mit Inseln);
4;Bs xxx;yyy;............Taufbecken;
5;Bs 7500;;...............Herstellungstechniken;
5;Bs 7510;;...............zeitlich durchgehend, Italien gesamt;
5;Bs 7515;7517;...............idem (= zeitlich durchgehend), Oberitalien;
5;Bs 7520;7522;...............idem (= zeitlich durchgehend), Mittelitalien;
5;Bs 7525;7527;...............idem (= zeitlich durchgehend), Unteritalien (auch mit Inseln);
5;Bs 7530;;...............Frühchristentum, Italien gesamt;
5;Bs 7532;;...............idem (= Frühchristentum), Oberitalien;
5;Bs 7534;;...............idem (= Frühchristentum), Mittelitalien;
5;Bs 7536;;...............idem (= Frühchristentum), Unteritalien (auch mit Inseln);
5;Bs 7540;;...............Mittelalter, Italien gesamt;
5;Bs 7545;7547;...............idem (= Mittelalter), Oberitalien;
5;Bs 7550;7552;...............idem (= Mittelalter), Mittelitalien;
5;Bs 7555;7557;...............idem (= Mittelalter), Unteritalien (auch mit Inseln);
5;Bs 7560;;...............Neuzeit, Italien gesamt;
5;Bs 7565;7567;...............idem (= Neuzeit), Oberitalien;
5;Bs 7570;7572;...............idem (= Neuzeit), Mittelitalien;
5;Bs 7575;7577;...............idem (= Neuzeit), Unteritalien (auch mit Inseln);
4;Bs xxx;yyy;............Orgeln (Orgelprospekte);
5;Bs 7600;;...............Herstellungstechniken;
5;Bs 7610;;...............zeitlich durchgehend, Italien gesamt;
5;Bs 7615;7617;...............idem (= zeitlich durchgehend), Oberitalien;
5;Bs 7620;7622;...............idem (= zeitlich durchgehend), Mittelitalien;
5;Bs 7625;7627;...............idem (= zeitlich durchgehend), Unteritalien (auch mit Inseln);
5;Bs 7630;;...............Frühchristentum, Italien gesamt;
5;Bs 7632;;...............idem (= Frühchristentum), Oberitalien;
5;Bs 7634;;...............idem (= Frühchristentum), Mittelitalien;
5;Bs 7636;;...............idem (= Frühchristentum), Unteritalien (auch mit Inseln);
5;Bs 7640;;...............Mittelalter, Italien gesamt;
5;Bs 7645;7647;...............idem (= Mittelalter), Oberitalien;
5;Bs 7650;7652;...............idem (= Mittelalter), Mittelitalien;
5;Bs 7655;7657;...............idem (= Mittelalter), Unteritalien (auch mit Inseln);
5;Bs 7660;;...............Neuzeit, Italien gesamt;
5;Bs 7665;7667;...............idem (= Neuzeit), Oberitalien;
5;Bs 7670;7672;...............idem (= Neuzeit), Mittelitalien;
5;Bs 7675;7677;...............idem (= Neuzeit), Unteritalien (auch mit Inseln);
4;Bs xxx;yyy;............Glocken;
5;Bs 7700;;...............Herstellungstechniken;
5;Bs 7710;;...............zeitlich durchgehend, Italien gesamt;
5;Bs 7715;7717;...............idem (= zeitlich durchgehend), Oberitalien;
5;Bs 7720;7722;...............idem (= zeitlich durchgehend), Mittelitalien;
5;Bs 7725;7727;...............idem (= zeitlich durchgehend), Unteritalien (auch mit Inseln);
5;Bs 7730;;...............Frühchristentum, Italien gesamt;
5;Bs 7732;;...............idem (= Frühchristentum), Oberitalien;
5;Bs 7734;;...............idem (= Frühchristentum), Mittelitalien;
5;Bs 7736;;...............idem (= Frühchristentum), Unteritalien (auch mit Inseln);
5;Bs 7740;;...............Mittelalter, Italien gesamt;
5;Bs 7745;7747;...............idem (= Mittelalter), Oberitalien;
5;Bs 7750;7752;...............idem (= Mittelalter), Mittelitalien;
5;Bs 7755;7757;...............idem (= Mittelalter), Unteritalien (auch mit Inseln);
5;Bs 7760;;...............Neuzeit, Italien gesamt;
5;Bs 7765;7767;...............idem (= Neuzeit), Oberitalien;
5;Bs 7770;7772;...............idem (= Neuzeit), Mittelitalien;
5;Bs 7775;7777;...............idem (= Neuzeit), Unteritalien (auch mit Inseln);
3;Bs xxx;yyy;.........Textilien (auch Teppiche und Trachten);
4;Bs xxx;yyy;............Textilien, Teppiche, Trachten allgemein;
5;Bs 8000;;...............Herstellungstechniken allgemein;
5;Bs 8010;;...............zeitlich durchgehend, Italien gesamt;
5;Bs 8015;8017;...............idem (= zeitlich durchgehend), Oberitalien;
5;Bs 8020;8022;...............idem (= zeitlich durchgehend), Mittelitalien;
5;Bs 8025;8027;...............idem (= zeitlich durchgehend), Unteritalien (auch mit Inseln);
5;Bs 8030;;...............Frühchristentum, Italien gesamt;
5;Bs 8032;;...............idem (= Frühchristentum), Oberitalien;
5;Bs 8034;;...............idem (= Frühchristentum), Mittelitalien;
5;Bs 8036;;...............idem (= Frühchristentum), Unteritalien (auch mit Inseln);
5;Bs 8040;;...............Mittelalter, Italien gesamt;
5;Bs 8045;8047;...............idem (= Mittelalter), Oberitalien;
5;Bs 8050;8052;...............idem (= Mittelalter), Mittelitalien;
5;Bs 8055;8057;...............idem (= Mittelalter), Unteritalien (auch mit Inseln);
5;Bs 8060;;...............Neuzeit, Italien gesamt;
5;Bs 8065;8067;...............idem (= Neuzeit), Oberitalien;
5;Bs 8070;8072;...............idem (= Neuzeit), Mittelitalien;
5;Bs 8075;8077;...............idem (= Neuzeit), Unteritalien (auch mit Inseln);
4;Bs xxx;yyy;............einzelne textile Stoffe (Leinen, Seide etc.);
5;Bs 8100;;...............Herstellungstechniken;
5;Bs 8110;;...............zeitlich durchgehend, Italien gesamt;
5;Bs 8115;8117;...............idem (= zeitlich durchgehend), Oberitalien;
5;Bs 8120;8122;...............idem (= zeitlich durchgehend), Mittelitalien;
5;Bs 8125;8127;...............idem (= zeitlich durchgehend), Unteritalien (auch mit Inseln);
5;Bs 8130;;...............Frühchristentum, Italien gesamt;
5;Bs 8132;;...............idem (= Frühchristentum), Oberitalien;
5;Bs 8134;;...............idem (= Frühchristentum), Mittelitalien;
5;Bs 8136;;...............idem (= Frühchristentum), Unteritalien (auch mit Inseln);
5;Bs 8140;;...............Mittelalter, Italien gesamt;
5;Bs 8145;8147;...............idem (= Mittelalter), Oberitalien;
5;Bs 8150;8152;...............idem (= Mittelalter), Mittelitalien;
5;Bs 8155;8157;...............idem (= Mittelalter), Unteritalien (auch mit Inseln);
5;Bs 8160;;...............Neuzeit, Italien gesamt;
5;Bs 8165;8167;...............idem (= Neuzeit), Oberitalien;
5;Bs 8170;8172;...............idem (= Neuzeit), Mittelitalien;
5;Bs 8175;8177;...............idem (= Neuzeit), Unteritalien (auch mit Inseln);
4;Bs xxx;yyy;............Stickerei und Spitzen;
5;Bs 8200;;...............Herstellungstechniken;
5;Bs 8210;;...............zeitlich durchgehend, Italien gesamt;
5;Bs 8215;8217;...............idem (= zeitlich durchgehend), Oberitalien;
5;Bs 8220;8222;...............idem (= zeitlich durchgehend), Mittelitalien;
5;Bs 8225;8227;...............idem (= zeitlich durchgehend), Unteritalien (auch mit Inseln);
5;Bs 8230;;...............Frühchristentum, Italien gesamt;
5;Bs 8232;;...............idem (= Frühchristentum), Oberitalien;
5;Bs 8234;;...............idem (= Frühchristentum), Mittelitalien;
5;Bs 8236;;...............idem (= Frühchristentum), Unteritalien (auch mit Inseln);
5;Bs 8240;;...............Mittelalter, Italien gesamt;
5;Bs 8245;8247;...............idem (= Mittelalter), Oberitalien;
5;Bs 8250;8252;...............idem (= Mittelalter), Mittelitalien;
5;Bs 8255;8257;...............idem (= Mittelalter), Unteritalien (auch mit Inseln);
5;Bs 8260;;...............Neuzeit, Italien gesamt;
5;Bs 8265;8267;...............idem (= Neuzeit), Oberitalien;
5;Bs 8270;8272;...............idem (= Neuzeit), Mittelitalien;
5;Bs 8275;8277;...............idem (= Neuzeit), Unteritalien (auch mit Inseln);
4;Bs xxx;yyy;............Teppiche;
5;Bs 8300;;...............Herstellungstechniken;
5;Bs 8310;;...............zeitlich durchgehend, Italien gesamt;
5;Bs 8320;;...............Mittelalter, Italien gesamt;
5;Bs 8330;;...............Neuzeit, Italien gesamt;
5;Bs 8335;8337;...............idem (= Neuzeit), Oberitalien;
5;Bs 8340;8342;...............idem (= Neuzeit), Mittelitalien;
5;Bs 8345;8347;...............idem (= Neuzeit), Unteritalien (auch mit Inseln);
5;Bs 8360;;...............Fußteppiche, zeitlich durchgehend;
5;Bs 8370;;...............idem (= Fußteppiche), Mittelalter;
5;Bs 8380;;...............idem (= Fußteppiche), Neuzeit;
4;Bs xxx;yyy;............Kleidung allgemein (sakral und profan);
5;Bs 8400;;...............Herstellungstechniken;
5;Bs 8410;;...............zeitlich durchgehend, Italien gesamt;
5;Bs 8415;8417;...............idem (= zeitlich durchgehend), Oberitalien;
5;Bs 8420;8422;...............idem (= zeitlich durchgehend), Mittelitalien;
5;Bs 8425;8427;...............idem (= zeitlich durchgehend), Unteritalien (auch mit Inseln);
5;Bs 8430;;...............Frühchristentum, Italien gesamt;
5;Bs 8432;;...............idem (= Frühchristentum), Oberitalien;
5;Bs 8434;;...............idem (= Frühchristentum), Mittelitalien;
5;Bs 8436;;...............idem (= Frühchristentum), Unteritalien (auch mit Inseln);
5;Bs 8440;;...............Mittelalter, Italien gesamt;
5;Bs 8445;8447;...............idem (= Mittelalter), Oberitalien;
5;Bs 8450;8452;...............idem (= Mittelalter), Mittelitalien;
5;Bs 8455;8457;...............idem (= Mittelalter), Unteritalien (auch mit Inseln);
5;Bs 8460;;...............Neuzeit, Italien gesamt;
5;Bs 8465;8467;...............idem (= Neuzeit), Oberitalien;
5;Bs 8470;8472;...............idem (= Neuzeit), Mittelitalien;
5;Bs 8475;8477;...............idem (= Neuzeit), Unteritalien (auch mit Inseln);
4;Bs xxx;yyy;............Kleidung im sakralen Gebrauch;
5;Bs 8500;;...............Herstellungstechniken;
5;Bs 8510;;...............mehrere Religionen, zeitlich durchgehend;
5;Bs 8512;;...............idem (= mehrere Religionen), Spätantike und Frühchristentum;
5;Bs 8514;;...............idem (= mehrere Religionen), Mittelalter;
5;Bs 8516;;...............idem Neuzeit;
5;Bs 8520;;...............Welt- und Ordensklerus der griechisch- und römisch-katholischen Kirche, zeitlich durchgehend;
5;Bs 8522;;...............idem (= Welt- und Ordensklerus der griechisch- und römisch-katholischen Kirche), Frühchristentum;
5;Bs 8524;;...............idem (= Welt- und Ordensklerus der griechisch- und römisch-katholischen Kirche), Mittelalter;
5;Bs 8526;;...............idem (= Welt- und Ordensklerus der griechisch- und römisch-katholischen Kirche), Neuzeit;
5;Bs 8530;;...............Ordensklerus der griechisch- und römisch-katholischen Kirche, allgemein;
5;Bs 8532;;...............idem (= Ordensklerus der griechisch- und römisch-katholischen Kirche), nur Benediktiner;
5;Bs 8534;;...............idem (= Ordensklerus der griechisch- und römisch-katholischen Kirche), nur Zisterzienser;
5;Bs 8536;;...............idem (= Ordensklerus der griechisch- und römisch-katholischen Kirche), nur Augustiner;
5;Bs 8538;;...............idem (= Ordensklerus der griechisch- und römisch-katholischen Kirche), nur Bettelorden (Franziskaner, Dominikaner, Karmeliten, Kapuziner etc.);
5;Bs 8544;;...............idem (= Ordensklerus der griechisch- und römisch-katholischen Kirche), nur Jesuiten;
5;Bs 8548;;...............idem (= Ordensklerus der griechisch- und römisch-katholischen Kirche), sonstige geistliche Orden;
5;Bs 8560;;...............Weltklerus der griechisch- und römisch-katholischen Kirche;
5;Bs 8580;;...............sonstige religiöse Gemeinschaften ;Kleidung im jüdischen Kultgebrauch = Bb 500 ff.
4;Bs xxx;yyy;............Kleidung im profanen Gebrauch (Kostümkunde);
5;Bs 8600;;...............Herstellungstechniken;
5;Bs 8610;;...............zeitlich durchgehend;
5;Bs 8620;;...............Frühchristentum;
5;Bs 8630;;...............Mittelalter;
5;Bs 8640;;...............Neuzeit;
5;Bs 8700;8705;...............Volkstrachten, Italien gesamt;
5;Bs 8710;;...............idem (= Volkstrachten), Oberitalien allgemein;
5;Bs 8712;8722;...............idem (= Volkstrachten), Oberitalien, einzelne Landschaften;
5;Bs 8730;;...............idem (= Volkstrachten), Mittelitalien allgemein;
5;Bs 8732;8738;...............idem (= Volkstrachten), Mittelitalien, einzelne Landschaften;
5;Bs 8740;;...............idem (= Volkstrachten), Unteritalien (auch mit Sizilien) allgemein;
5;Bs 8742;8750;...............idem (= Volkstrachten), Unteritalien, einzelne Landschaften;
5;Bs 8752;;...............idem (= Volkstrachten), Inseln (ohne Sizilien) allgemein;
5;Bs 8754;8758;...............idem (= Volkstrachten), einzelne Inseln;
5;Bs 8800;8805;...............Uniformen, zeitlich durchgehend;
5;Bs 8810;;...............idem (= Uniformen), Frühchristentum;
5;Bs 8820;;...............idem (= Uniformen), Mittelalter;
5;Bs 8830;;...............idem (= Uniformen), Neuzeit allgemein;
5;Bs 8840;;...............idem (= Uniformen), 15. und 16. Jh.;
5;Bs 8850;;...............idem (= Uniformen), 17. und 18. Jh.;
5;Bs 8860;;...............idem (= Uniformen), 19. und 20. Jh.;
3;Bs xxx;yyy;.........Volkskunst;
4;Bs 9000;;............Herstellungstechniken;
4;Bs 9010;9015;............Italien gesamt;
4;Bs 9020;;............Oberitalien allgemein;
4;Bs 9022;9032;............Oberitalien, einzelne Landschaften;
4;Bs 9040;;............Mittelitalien allgemein;
4;Bs 9042;9048;............Mittelitalien, einzelne Landschaften;
4;Bs 9050;;............Unteritalien (auch mit Sizilien) allgemein;
4;Bs 9052;9060;............Unteritalien, einzelne Landschaften;
4;Bs 9062;;............Inseln (ohne Sizilien) allgemein;
4;Bs 9064;9068;............einzelne Inseln;
3;Bs xxx;yyy;.........Miscellanea;
4;Bs 9310;;............Lackmalerei;
4;Bs 9330;;............Lederarbeiten;
4;Bs 9350;;............Tätowierungen;
4;Bs 9370;;............Papierarbeiten ;Scherenschnitte = Br 1060
4;Bs 9380;;............Wachsarbeiten;
4;Bs 9390;;............moderne Kunststoffe;
4;Bs 9510;;............wissenschaftliche Instrumente;
4;Bs 9520;;............Fahrzeuge allgemein;
4;Bs 9522;;............Erdfahrzeuge ohne maschinellen Antrieb;
4;Bs 9524;;............Erdfahrzeuge mit maschinellen Antrieb;
4;Bs 9526;;............Wasserfahrzeuge;
4;Bs 9528;;............Luftfahrzeuge (auch Raumschiffahrt);
4;Bs 9540;;............modernes Gebrauchsgerät, Industrie-Design;
4;Bs 9560;;............Uhren, Automaten;
4;Bs 9570;;............Beleuchtungskörper;
4;Bs 9580;;............Bilderrahmen, Spiegel;
4;Bs 9600;;............Musikinstrumente;
4;Bs 9620;;............Spiele ;Spielkarten = Br 1070
4;Bs 9640;;............Spielzeug;
4;Bs 9660;;............Fächer;
4;Bs 9700;;............Krippen;
4;Bs 9720;;............Votivgaben (auch Votivbilder);
4;Bs 9740;;............Amulette;
4;Bs 9790;;............Sonstiges;
2;Bt ;;......Kunstsammeln und Kunstpflege;
3;Bt xxx;yyy;.........Kunstsammeln, Kunsthandel, Kunstfälschung;
4;Bt 10;15;............allgemein zusammenfassend;
4;Bt ;;............Kunstsammeln: ;Museumswesen = 1100 ff.
5;Bt 20;;...............Wesen und Praxis des Kunstsammelns;
5;Bt 28;;...............dazu (= Wesen und Praxis des Kunstsammelns) Einzelfragen;
5;Bt 30;38;...............Geschichte des Kunstsammelns;
5;Bt 50;290;...............Memoiren und Biographien einzelner Kunstsammler (geordnet nach Familiennamen);
4;Bt xxx;yyy;............Kunsthandel;
5;Bt 320;328;...............Wesen und Praxis des Kunsthandels;
5;Bt 330;338;...............Geschichte des Kunsthandels;
5;Bt 340;;...............Kunstpreisverzeichnisse;
5;Bt 350;590;...............Memoiren und Biographien einzelner Kunsthändler (geordnet nach Familiennamen);
4;Bt xxx;yyy;............Kunstfälschung;
5;Bt 620;628;...............Wesen und Praxis der Kunstfälschung;
5;Bt 630;638;...............Geschichte der Kunstfälschungen;
5;Bt 650;890;...............Memoiren und Biographien einzelner Kunstfälscher, auch Prozeßakten einzelner Fälscheraffären (geordnet nach Familiennamen);
3;Bt xxx;yyy;.........Museums-, Ausstellungs- und Restaurierungswesen;
4;Bt 1020;1025;............allgemein zusammenfassend;
4;Bt xxx;yyy;............Museumswesen;
5;Bt 100;1105;...............Wesen und Praxis der Museumsarbeit;
5;Bt 125;;...............Geschichte der Museen allgemein, zeitlich durchgehend;
5;Bt 130;;...............idem (= Geschichte der Museen allgemein), vor 1800;
5;Bt 140;;...............idem (= Geschichte der Museen allgemein), 1800 bis zur Gegenwart;
5;Bt 150;;...............idem (= Geschichte der Museen allgemein), 19. Jh.;
5;Bt 160;;...............idem (= Geschichte der Museen allgemein), und 20. Jh.;
4;Bt xxx;yyy;............Ausstellungswesen;
5;Bt 1200;1205;...............Wesen und Praxis des Austellungsbetriebes;
5;Bt 1225;;...............Geschichte der Ausstellungen allgemein, zeitlich durchgehend;
5;Bt 1230;;...............idem (= Geschichte der Ausstellungen allgemein), vor 1800;
5;Bt 1240;;...............idem (= Geschichte der Ausstellungen allgemein), 1800 bis zur Gegenwart;
5;Bt 1250;;...............idem (= Geschichte der Ausstellungen allgemein), 19. Jh.;
5;Bt 1260;;...............idem (= Geschichte der Ausstellungen allgemein), 20. Jh.;
4;Bt xxx;yyy;............Restaurierungswesen;
5;Bt 1300;1305;...............allgemein zusammenfassend;
5;Bt 1330;;...............einzelne Restaurierungsverfahren;
3;Bt xxx;yyy;.........Denkmalpflege, Kunstschutz im Kriege, Kunstraub;
4;Bt 2010;2015;............allgemein zusammenfassend;
4;Bt xxx;yyy;............Denkmalpflege;
5;Bt 2020;2028;...............Wesen und Praxis der Denkmalpflege;
5;Bt 2040;;...............Grundsätzliches zur Kunstdenkmäler-Inventarisation;
5;Bt 2045;;...............Heimatpflege und Landschaftsschutz;
